CIUDAD,PRIMER MENSAJE,SEGUNDO MENSAJE,TERCER MENSAJE,CUARTO MENSAJE,QUINTO MENSAJE
AGUAS ZARCAS,"🚔🚔 AGUAS ZARCAS 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 10 DE MAYO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/IcLmBSvFRLDFnpWjGYsJac?mode=gi_t

LUGAR:   Iglesia Genesis Aguas Zarcas de San Carlos. De Megasuper 300 metros al sur.

UBICACIÓN: https://maps.app.goo.gl/rV2n8bMeJQVXXftK6

INICIO: 2 DE LA TARDE 

FINAL: 4 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/IcLmBSvFRLDFnpWjGYsJac?mode=gi_t,
ALAJUELA,"🚔🚔 ALAJUELA 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA:  DOMINGO 17 DE MAYO

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/IRzPRxAamMw9lY5WcvATY8?mode=gi_t

LUGAR: IGLESIA METODISTA. COSTADO NORTE DEL PARQUE CENTRAL DE ALAJUELA 

UBICACIÓN: https://maps.app.goo.gl/sFXJHBMgwYWEmHbs7

INICIO: 4:30 DE LA TARDE 

FINAL: 6:30 DE LA NOCHE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/IRzPRxAamMw9lY5WcvATY8?mode=gi_t,
ARENAL,"🚔🚔 ARENAL 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 01 DE FEBRERO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/JaCxU38oL1kEpcGsH9EZfF?mode=hq2tcla

LUGAR: AUDITORIO IGLESIA ELOHIM ASAMBLEAS DE DIOS. 100 OESTE DEL BANCO NACIONAL 

UBICACIÓN: https://maps.app.goo.gl/vapA8RQkBk3UupAn9

INICIO: 2 DE LA TARDE 

FINAL: 4 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/JaCxU38oL1kEpcGsH9EZfF?mode=hq2tcla,"Esta es la información del último curso que tuvimos.

Apenas tenga una fecha establecida para el próximo curso le estaré avisando

Bendiciones "
ASERRI,"🚔🚔 ASERRI 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: SÁBADO 28 DE MARZO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/Fv6PEIE5RYuB9oHoU5vfGS?mode=gi_t

LUGAR:  IGLESIA BÍBLICA BAUTISTA ASERRÍ. DIAGONAL A LA BIBLIOTECA PÚBLICA DE ASERRÍ CENTRO. 

UBICACIÓN: https://maps.app.goo.gl/zNGcMsSdqs9zrn9L7

INICIO: 5 DE LA TARDE 

FINAL: 7 DE LA NOCHE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Videos de las clases grabadas por capítulos 
📚 Metodología de estudio en línea por 10 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/Fv6PEIE5RYuB9oHoU5vfGS?mode=gi_t,
ATENAS,"🚔🚔 ATENAS 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 22 DE MARZO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/JhKeas3qhs9BfNRcVyWJhh?mode=gi_t

LUGAR:  IGLESIA BÍBLICA DE ATENAS

UBICACIÓN: https://maps.app.goo.gl/WSbghsqyYqTc3mUz5

INICIO: 5 DE LA TARDE 

FINAL: 7 DE LA NOCHE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Videos de las clases grabadas por capítulos 
📚 Metodología de estudio en línea por 10 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026 
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/JhKeas3qhs9BfNRcVyWJhh?mode=gi_t,"Esta es la información del último curso que tuvimos.

Apenas tenga una fecha establecida para el próximo curso le estaré avisando

Bendiciones "
BAGACES,"""🚔🚔 BAGACES 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 26 DE ABRIL

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/DNnClCepD2W2s01snJZ66q?mode=gi_t

LUGAR: IGLESIA MARANATHA. 100 METROS NORTE DE LA PLAZA DE TOROS GERMAN ARRIETA

UBICACIÓN: https://maps.app.goo.gl/xz8zyKpUDZSH952h7

INICIO: 5 DE LA TARDE 

FINAL: 7 DE LA NOCHE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

(se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026 
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/DNnClCepD2W2s01snJZ66q?mode=gi_t,
BATAAN,"🚔🚔 BATAAN 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: SÁBADO 25 ABRIL

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/LM9yQZFAaQD3RvyZMZmXha?mode=gi_t

LUGAR:  IGLESIA CATÓLICA DE BATAAN. COSTADO NORTE DEL PARQUE CENTRAL

UBICACIÓN: https://maps.app.goo.gl/jBeUx8ktwZt6AumV9

INICIO: 1 DE LA TARDE 

FINAL: 3 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026 
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/LM9yQZFAaQD3RvyZMZmXha?mode=gi_t,
BIJAGUA,"🚔🚔 BIJAGUA 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 01 DE FEBRERO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/Gjs2MHDrwIW8BU33x7idUo

LUGAR:  IGLESIA ASAMBLEAS DE DIOS, CONTIGUO AL BANCO NACIONAL 

UBICACIÓN: https://maps.app.goo.gl/jXRGvhmp8svYSEgo7

INICIO: 4 DE LA TARDE 

FINAL: 6 DE LA TARDE

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Videos de las clases grabadas por capítulos 
📚 Metodología de estudio en línea por 10 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026 
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/Gjs2MHDrwIW8BU33x7idUo,"Esta es la información del último curso que tuvimos.

Apenas tenga una fecha establecida para el próximo curso le estaré avisando

Bendiciones "
BORUCA,"🚔🚔 BORUCA 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA:  SÁBADO 23 DE MAYO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/ID4CAgaKXNz73VL7tgiMnQ?mode=gi_t

LUGAR:   Salón de fútbol sala de la Iglesia católica de Boruca.

UBICACIÓN: https://maps.app.goo.gl/8ArotejJULhtjDvx5

INICIO: 4 DE LA TARDE 

FINAL: 6 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/ID4CAgaKXNz73VL7tgiMnQ?mode=gi_t,
BRASILITO,"🚔🚔 BRASILITO 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 01 DE MARZO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/Lt5XVNrzoDGCmoOkKdWJ2B?mode=gi_t

LUGAR: SALÓN COMUNAL DE PLAYA BRASILITO. 50 METROS ESTE DEL RESTAURANTE PATAGONIA

UBICACIÓN: https://maps.app.goo.gl/UDZo5KRAmeMBy8P29

INICIO: 1 DE LA TARDE 

FINAL: 3 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Videos de las clases grabadas por capítulos 
📚 Metodología de estudio en línea por 10 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026 
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/Lt5XVNrzoDGCmoOkKdWJ2B?mode=gi_t,"Esta es la información del último curso que tuvimos.

Apenas tenga una fecha establecida para el próximo curso le estaré avisando

Bendiciones "
BUENOS AIRES,"🚔🚔 BUENOS AIRES 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: SÁBADO 23 DE MAYO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/L2adBv9GymL3LJancRlKjh?mode=gi_t

LUGAR: IGLESIA METODISTA DE BUENOS AIRES 

UBICACIÓN: https://maps.app.goo.gl/EQTo9mUZ5ezdyrSS8

INICIO: 12 MEDIODIA

FINAL: 2 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico  
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026
📚 Manual del conductor en pdf versión 2026
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/L2adBv9GymL3LJancRlKjh?mode=gi_t,
CAÑAS,"🚔🚔 CAÑAS 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 17 DE MAYO

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/EXC9JKooSDLD1NUTIYqoqz?mode=gi_t

LUGAR:  SALÓN DE EVENTOS MIMI

UBICACIÓN: https://maps.app.goo.gl/sXjCSWbSh7JWMLodA

INICIO: 5 DE LA TARDE 

FINAL: 7 DE LA NOCHE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026
📚 Manual del conductor en pdf versión 2026
📚 Audiolibro del manual del conductor versión 2026
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/EXC9JKooSDLD1NUTIYqoqz?mode=gi_t,
CARIARI,"🚔🚔 CARIARI 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 26 DE ABRIL

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/IrJAd26zqu2FxtVouzbhXt?mode=gi_t

LUGAR: SALÓN COMUNAL DE CARIARI. 150 METROS OESTE DE PALI

UBICACIÓN: https://maps.app.goo.gl/7R2d5yA5NoRTEsxj7

INICIO: 3 DE LA TARDE

FINAL: 5 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/IrJAd26zqu2FxtVouzbhXt?mode=gi_t,
CARTAGENA,"🚔🚔 CARTAGENA 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: SÁBADO 21 DE FEBRERO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/GXqc1Cl9awlHENhklyZ6I4?mode=gi_t

LUGAR: IGLESIA ASAMBLEAS DE DIOS. DE LA MUSMANI 100 METROS SUR Y 180 METROS OESTE 

UBICACIÓN: https://maps.app.goo.gl/epwBAgQa7ZKfCetg9

INICIO: 1 DE LA TARDE 

FINAL: 3 DE LA TARDE 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Videos de las clases grabadas por capítulos 
📚 Metodología de estudio en línea por 10 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/GXqc1Cl9awlHENhklyZ6I4?mode=gi_t,"Esta es la información del último curso que tuvimos.

Apenas tenga una fecha establecida para el próximo curso le estaré avisando

Bendiciones "
CARTAGO,"🚔🚔 CARTAGO 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA: DOMINGO 07 DE DICIEMBRE 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/ETgXXyYblbm4QEEUQIzkz8?mode=wwt

LUGAR:  CATEDRAL NUESTRA SEÑORA DEL CARMEN. CONTIGUO AL BCR

UBICACIÓN: https://maps.app.goo.gl/ybJa67HQbxZrdb4N8

INICIO: 11 DE LA MAÑANA 

FINAL: 1 DE LA TARDE

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Videos de las clases grabadas por capítulos 
📚 Metodología de estudio en línea por 10 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2025 
📚 Resumen actualizado del libro en pdf versión 2025 
📚 Manual del conductor en pdf versión 2025 
📚 Audiolibro del manual del conductor versión 2025 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/ETgXXyYblbm4QEEUQIzkz8?mode=wwt,"Esta es la información del último curso que tuvimos.

Apenas tenga una fecha establecida para el próximo curso le estaré avisando

Bendiciones "
CIUDAD NEILLY,"🚔🚔 CIUDAD NEILLY 🚔🚔

CURSO TEÓRICO PARA LICENCIAS

FECHA:  DOMINGO 24 DE MAYO 

🇨🇷ÚNICO DÍA🇨🇷

ENLACE: https://chat.whatsapp.com/BkUzMrNplEJKHzbEJb88I0?mode=gi_t

LUGAR:   CASA DEL EDUCADOR PENSIONADO. DIAGONAL AL LICEO DE CIUDAD NEILLY

UBICACIÓN: https://maps.app.goo.gl/X33HJRMLrBqngHxYA

INICIO: 10 DE LA MAÑANA

FINAL: 12 MEDIODÍA 

🧍🏻‍♂️1 PERSONA: 15 MIL COLONES

🧍🏻‍♂️🧍🏻‍♂️2 PERSONAS: 25 MIL COLONES 

🧍🏻‍♂️🧍🏻‍♂️🧍🏻‍♂️3 PERSONAS: 30 MIL COLONES 

 (se paga hasta ese mismo día en efectivo) 

INCLUYE:
📚 Cita para el examen teórico 
📚 Metodología de estudio en línea por 6 días posterior a la clase presencial
📚 Audio resumen del manual del conductor version 2026 
📚 Resumen actualizado del libro en pdf versión 2026 
📚 Manual del conductor en pdf versión 2026 
📚 Audiolibro del manual del conductor versión 2026 
📚 Guía de estudio de alto rendimiento
📚 Prácticas de examen en línea con revisión inmediata
📚 Explicación de preguntas en línea de manera automática
📚 Servicio de tutoria vía WhatsApp para atención de dudas y preguntas

Más info al: 50 01 01 01","Para reservar su espacio solo debe unirse al grupo

Imagen=1Tj0qc1oEUp0Ywh2-gvK8L6s6ttg6oHyu",👇🏻👇🏻👇🏻👇🏻👇🏻,https://chat.whatsapp.com/BkUzMrNplEJKHzbEJb88I0?mode=gi_t,
